"Par","Fear","Efficacy","Intention"
1,"No Fear Appeal","No Efficacy Message",6
2,"No Fear Appeal","No Efficacy Message",4
3,"No Fear Appeal","No Efficacy Message",7
4,"No Fear Appeal","No Efficacy Message",8
5,"No Fear Appeal","No Efficacy Message",5
6,"No Fear Appeal","No Efficacy Message",6
7,"No Fear Appeal","No Efficacy Message",2
8,"No Fear Appeal","No Efficacy Message",6
9,"No Fear Appeal","No Efficacy Message",5
10,"No Fear Appeal","No Efficacy Message",3
11,"No Fear Appeal","No Efficacy Message",8
12,"No Fear Appeal","No Efficacy Message",3
13,"No Fear Appeal","No Efficacy Message",6
14,"No Fear Appeal","No Efficacy Message",4
15,"No Fear Appeal","No Efficacy Message",4
16,"No Fear Appeal","No Efficacy Message",5
17,"No Fear Appeal","No Efficacy Message",8
18,"No Fear Appeal","No Efficacy Message",3
19,"No Fear Appeal","No Efficacy Message",4
20,"No Fear Appeal","No Efficacy Message",9
21,"No Fear Appeal","No Efficacy Message",6
22,"No Fear Appeal","No Efficacy Message",2
23,"No Fear Appeal","No Efficacy Message",9
24,"No Fear Appeal","No Efficacy Message",3
25,"No Fear Appeal","No Efficacy Message",5
26,"No Fear Appeal","No Efficacy Message",3
27,"No Fear Appeal","No Efficacy Message",5
28,"No Fear Appeal","No Efficacy Message",10
29,"No Fear Appeal","No Efficacy Message",8
30,"No Fear Appeal","No Efficacy Message",4
31,"No Fear Appeal","No Efficacy Message",4
32,"No Fear Appeal","No Efficacy Message",6
33,"No Fear Appeal","No Efficacy Message",3
34,"No Fear Appeal","No Efficacy Message",3
35,"No Fear Appeal","No Efficacy Message",7
36,"No Fear Appeal","No Efficacy Message",5
37,"No Fear Appeal","No Efficacy Message",6
38,"No Fear Appeal","No Efficacy Message",8
39,"No Fear Appeal","No Efficacy Message",5
40,"No Fear Appeal","No Efficacy Message",2
41,"No Fear Appeal","No Efficacy Message",3
42,"No Fear Appeal","No Efficacy Message",4
43,"No Fear Appeal","No Efficacy Message",4
44,"No Fear Appeal","No Efficacy Message",5
45,"No Fear Appeal","No Efficacy Message",5
46,"No Fear Appeal","No Efficacy Message",4
47,"No Fear Appeal","No Efficacy Message",4
48,"No Fear Appeal","No Efficacy Message",9
49,"No Fear Appeal","No Efficacy Message",5
50,"No Fear Appeal","No Efficacy Message",5
51,"No Fear Appeal","Efficacy Message",5
52,"No Fear Appeal","Efficacy Message",6
53,"No Fear Appeal","Efficacy Message",4
54,"No Fear Appeal","Efficacy Message",8
55,"No Fear Appeal","Efficacy Message",3
56,"No Fear Appeal","Efficacy Message",7
57,"No Fear Appeal","Efficacy Message",2
58,"No Fear Appeal","Efficacy Message",2
59,"No Fear Appeal","Efficacy Message",5
60,"No Fear Appeal","Efficacy Message",5
61,"No Fear Appeal","Efficacy Message",5
62,"No Fear Appeal","Efficacy Message",6
63,"No Fear Appeal","Efficacy Message",3
64,"No Fear Appeal","Efficacy Message",2
65,"No Fear Appeal","Efficacy Message",4
66,"No Fear Appeal","Efficacy Message",5
67,"No Fear Appeal","Efficacy Message",5
68,"No Fear Appeal","Efficacy Message",3
69,"No Fear Appeal","Efficacy Message",3
70,"No Fear Appeal","Efficacy Message",6
71,"No Fear Appeal","Efficacy Message",4
72,"No Fear Appeal","Efficacy Message",4
73,"No Fear Appeal","Efficacy Message",5
74,"No Fear Appeal","Efficacy Message",4
75,"No Fear Appeal","Efficacy Message",4
76,"No Fear Appeal","Efficacy Message",4
77,"No Fear Appeal","Efficacy Message",5
78,"No Fear Appeal","Efficacy Message",7
79,"No Fear Appeal","Efficacy Message",7
80,"No Fear Appeal","Efficacy Message",8
81,"No Fear Appeal","Efficacy Message",5
82,"No Fear Appeal","Efficacy Message",9
83,"No Fear Appeal","Efficacy Message",5
84,"No Fear Appeal","Efficacy Message",2
85,"No Fear Appeal","Efficacy Message",2
86,"No Fear Appeal","Efficacy Message",8
87,"No Fear Appeal","Efficacy Message",4
88,"No Fear Appeal","Efficacy Message",4
89,"No Fear Appeal","Efficacy Message",4
90,"No Fear Appeal","Efficacy Message",1
91,"No Fear Appeal","Efficacy Message",6
92,"No Fear Appeal","Efficacy Message",7
93,"No Fear Appeal","Efficacy Message",7
94,"No Fear Appeal","Efficacy Message",5
95,"No Fear Appeal","Efficacy Message",2
96,"No Fear Appeal","Efficacy Message",7
97,"No Fear Appeal","Efficacy Message",4
98,"No Fear Appeal","Efficacy Message",4
99,"No Fear Appeal","Efficacy Message",3
100,"No Fear Appeal","Efficacy Message",3
101,"Fear Appeal","No Efficacy Message",5
102,"Fear Appeal","No Efficacy Message",5
103,"Fear Appeal","No Efficacy Message",3
104,"Fear Appeal","No Efficacy Message",5
105,"Fear Appeal","No Efficacy Message",5
106,"Fear Appeal","No Efficacy Message",5
107,"Fear Appeal","No Efficacy Message",6
108,"Fear Appeal","No Efficacy Message",4
109,"Fear Appeal","No Efficacy Message",3
110,"Fear Appeal","No Efficacy Message",4
111,"Fear Appeal","No Efficacy Message",3
112,"Fear Appeal","No Efficacy Message",2
113,"Fear Appeal","No Efficacy Message",7
114,"Fear Appeal","No Efficacy Message",4
115,"Fear Appeal","No Efficacy Message",6
116,"Fear Appeal","No Efficacy Message",5
117,"Fear Appeal","No Efficacy Message",6
118,"Fear Appeal","No Efficacy Message",3
119,"Fear Appeal","No Efficacy Message",7
120,"Fear Appeal","No Efficacy Message",4
121,"Fear Appeal","No Efficacy Message",5
122,"Fear Appeal","No Efficacy Message",5
123,"Fear Appeal","No Efficacy Message",4
124,"Fear Appeal","No Efficacy Message",4
125,"Fear Appeal","No Efficacy Message",5
126,"Fear Appeal","No Efficacy Message",0
127,"Fear Appeal","No Efficacy Message",7
128,"Fear Appeal","No Efficacy Message",4
129,"Fear Appeal","No Efficacy Message",2
130,"Fear Appeal","No Efficacy Message",5
131,"Fear Appeal","No Efficacy Message",7
132,"Fear Appeal","No Efficacy Message",3
133,"Fear Appeal","No Efficacy Message",6
134,"Fear Appeal","No Efficacy Message",7
135,"Fear Appeal","No Efficacy Message",6
136,"Fear Appeal","No Efficacy Message",8
137,"Fear Appeal","No Efficacy Message",7
138,"Fear Appeal","No Efficacy Message",5
139,"Fear Appeal","No Efficacy Message",2
140,"Fear Appeal","No Efficacy Message",3
141,"Fear Appeal","No Efficacy Message",6
142,"Fear Appeal","No Efficacy Message",7
143,"Fear Appeal","No Efficacy Message",8
144,"Fear Appeal","No Efficacy Message",6
145,"Fear Appeal","No Efficacy Message",2
146,"Fear Appeal","No Efficacy Message",5
147,"Fear Appeal","No Efficacy Message",1
148,"Fear Appeal","No Efficacy Message",7
149,"Fear Appeal","No Efficacy Message",5
150,"Fear Appeal","No Efficacy Message",6
151,"Fear Appeal","Efficacy Message",6
152,"Fear Appeal","Efficacy Message",4
153,"Fear Appeal","Efficacy Message",10
154,"Fear Appeal","Efficacy Message",5
155,"Fear Appeal","Efficacy Message",7
156,"Fear Appeal","Efficacy Message",5
157,"Fear Appeal","Efficacy Message",7
158,"Fear Appeal","Efficacy Message",4
159,"Fear Appeal","Efficacy Message",5
160,"Fear Appeal","Efficacy Message",9
161,"Fear Appeal","Efficacy Message",8
162,"Fear Appeal","Efficacy Message",8
163,"Fear Appeal","Efficacy Message",8
164,"Fear Appeal","Efficacy Message",9
165,"Fear Appeal","Efficacy Message",8
166,"Fear Appeal","Efficacy Message",6
167,"Fear Appeal","Efficacy Message",6
168,"Fear Appeal","Efficacy Message",7
169,"Fear Appeal","Efficacy Message",10
170,"Fear Appeal","Efficacy Message",4
171,"Fear Appeal","Efficacy Message",9
172,"Fear Appeal","Efficacy Message",7
173,"Fear Appeal","Efficacy Message",8
174,"Fear Appeal","Efficacy Message",9
175,"Fear Appeal","Efficacy Message",4
176,"Fear Appeal","Efficacy Message",8
177,"Fear Appeal","Efficacy Message",10
178,"Fear Appeal","Efficacy Message",8
179,"Fear Appeal","Efficacy Message",8
180,"Fear Appeal","Efficacy Message",9
181,"Fear Appeal","Efficacy Message",7
182,"Fear Appeal","Efficacy Message",5
183,"Fear Appeal","Efficacy Message",8
184,"Fear Appeal","Efficacy Message",8
185,"Fear Appeal","Efficacy Message",7
186,"Fear Appeal","Efficacy Message",8
187,"Fear Appeal","Efficacy Message",5
188,"Fear Appeal","Efficacy Message",7
189,"Fear Appeal","Efficacy Message",10
190,"Fear Appeal","Efficacy Message",7
191,"Fear Appeal","Efficacy Message",8
192,"Fear Appeal","Efficacy Message",6
193,"Fear Appeal","Efficacy Message",3
194,"Fear Appeal","Efficacy Message",9
195,"Fear Appeal","Efficacy Message",7
196,"Fear Appeal","Efficacy Message",6
197,"Fear Appeal","Efficacy Message",9
198,"Fear Appeal","Efficacy Message",6
199,"Fear Appeal","Efficacy Message",7
200,"Fear Appeal","Efficacy Message",7
